epoch,train_loss,val_loss,val_qwk,val_accuracy,val_macro_f1,val_macro_auc,learning_rate,epoch_time_seconds
1,1.598598,1.772561,0.002301,0.136612,0.121909,0.524313,5.050000000000001e-06,482.61
2,1.382072,1.793425,0.055128,0.074681,0.061389,0.0,1e-05,480.13
3,1.21731,1.648595,0.42036,0.253188,0.207851,0.0,9.958086757163489e-06,448.32
4,1.099939,1.575934,0.600511,0.408015,0.303138,0.0,9.833127793065098e-06,458.25
5,1.029072,1.522829,0.677479,0.466302,0.329768,0.0,9.62745085677454e-06,460.06
6,0.97274,1.476999,0.69807,0.493625,0.354297,0.0,9.344887320459198e-06,451.7
7,0.953582,1.439146,0.697421,0.499089,0.364259,0.0,8.99070080816989e-06,469.28
8,0.905803,1.426675,0.728548,0.522769,0.375664,0.0,8.571489144483943e-06,463.98
9,0.897405,1.396984,0.744057,0.559199,0.398199,0.0,8.095061449516902e-06,456.23
10,0.90416,1.378213,0.764319,0.579235,0.420417,0.0,7.570292669790185e-06,467.7
11,0.87173,1.396306,0.763762,0.577413,0.40985,0.0,7.006958254769438e-06,448.62
12,0.857132,1.385426,0.77607,0.599271,0.439907,0.0,6.415552058736851e-06,458.82
13,0.858795,1.38984,0.764163,0.595628,0.441965,0.0,5.80709086014102e-06,453.23
14,0.825689,1.382375,0.793743,0.621129,0.458101,0.0,5.1929091398589804e-06,454.07
15,0.805779,1.389376,0.786685,0.612022,0.452436,0.0,4.584447941263147e-06,455.66
16,0.82498,1.383201,0.777623,0.615665,0.463193,0.0,3.993041745230561e-06,455.61
17,0.801516,1.379715,0.782267,0.619308,0.458673,0.0,3.429707330209815e-06,459.53
18,0.779911,1.388204,0.786469,0.617486,0.455642,0.0,2.904938550483098e-06,461.37
19,0.798888,1.381892,0.777914,0.628415,0.478954,0.0,2.4285108555160555e-06,453.68
