epoch,train_loss,val_loss,val_qwk,val_accuracy,val_macro_f1,val_macro_auc,learning_rate,epoch_time_seconds
1,1.616588,1.781558,0.086413,0.098361,0.067759,0.52222,5.050000000000001e-06,493.76
2,1.372465,1.668838,0.430576,0.142077,0.149318,0.0,1e-05,474.71
3,1.068794,1.528552,0.692286,0.326047,0.301373,0.0,9.958086757163489e-06,476.26
4,0.939249,1.394464,0.78883,0.571949,0.425777,0.0,9.833127793065098e-06,469.23
5,0.879347,1.345634,0.799274,0.612022,0.463546,0.0,9.62745085677454e-06,479.26
6,0.784328,1.331823,0.782821,0.608379,0.456292,0.0,9.344887320459198e-06,468.41
7,0.742674,1.35579,0.809395,0.663024,0.515561,0.0,8.99070080816989e-06,461.84
8,0.735133,1.317599,0.84203,0.690346,0.550318,0.0,8.571489144483943e-06,470.21
9,0.724049,1.29851,0.835648,0.693989,0.554204,0.0,8.095061449516902e-06,469.19
10,0.648278,1.320758,0.837771,0.693989,0.551417,0.0,7.570292669790185e-06,481.11
11,0.674335,1.324262,0.815551,0.704918,0.571531,0.0,7.006958254769438e-06,471.66
12,0.635409,1.295727,0.878515,0.744991,0.6192,0.0,6.415552058736851e-06,476.83
13,0.606025,1.272271,0.873424,0.770492,0.642078,0.0,5.80709086014102e-06,472.63
14,0.613437,1.315516,0.865131,0.730419,0.598446,0.0,5.1929091398589804e-06,470.44
15,0.583623,1.283475,0.85056,0.744991,0.620378,0.0,4.584447941263147e-06,471.98
16,0.570919,1.283898,0.873941,0.763206,0.641207,0.0,3.993041745230561e-06,468.28
17,0.591341,1.269464,0.882421,0.779599,0.660773,0.0,3.429707330209815e-06,464.25
18,0.568006,1.266816,0.876243,0.788707,0.675472,0.0,2.904938550483098e-06,485.65
19,0.545256,1.273939,0.875837,0.772313,0.65401,0.0,2.4285108555160555e-06,469.23
20,0.548864,1.271823,0.876336,0.777778,0.655091,0.0,2.009299191830111e-06,476.49
21,0.533994,1.267455,0.881715,0.786885,0.669423,0.0,1.6551126795408021e-06,469.83
22,0.542548,1.261802,0.88202,0.794171,0.678928,0.0,1.3725491432254612e-06,474.2
