epoch,train_loss,val_loss,val_qwk,val_accuracy,val_macro_f1,val_macro_auc,learning_rate,epoch_time_seconds
1,1.635577,1.787363,0.060321,0.069217,0.048375,0.490523,5.050000000000001e-06,524.45
2,1.299927,1.670468,0.555348,0.132969,0.104669,0.0,1e-05,491.21
3,1.034823,1.418748,0.761012,0.540984,0.398428,0.0,9.958086757163489e-06,484.01
4,0.956993,1.380585,0.797715,0.617486,0.460403,0.0,9.833127793065098e-06,484.64
5,0.850236,1.36481,0.816052,0.635701,0.503921,0.0,9.62745085677454e-06,490.63
6,0.756897,1.317485,0.813011,0.672131,0.524385,0.0,9.344887320459198e-06,486.46
7,0.725597,1.381521,0.831041,0.679417,0.546584,0.0,8.99070080816989e-06,484.88
8,0.712274,1.315738,0.838026,0.71949,0.588764,0.0,8.571489144483943e-06,479.56
9,0.647427,1.319656,0.826828,0.71949,0.583821,0.0,8.095061449516902e-06,471.02
10,0.636574,1.358526,0.850254,0.744991,0.609029,0.0,7.570292669790185e-06,472.43
11,0.604578,1.364356,0.853054,0.741348,0.604547,0.0,7.006958254769438e-06,482.85
12,0.583394,1.367414,0.854975,0.737705,0.610151,0.0,6.415552058736851e-06,473.4
13,0.565993,1.38552,0.84248,0.723133,0.591225,0.0,5.80709086014102e-06,475.11
14,0.563416,1.41482,0.85073,0.721311,0.595591,0.0,5.1929091398589804e-06,470.17
15,0.541855,1.375853,0.862951,0.739526,0.617671,0.0,4.584447941263147e-06,472.66
16,0.550274,1.372873,0.842388,0.735883,0.607924,0.0,3.993041745230561e-06,477.84
17,0.535664,1.375352,0.843392,0.743169,0.613361,0.0,3.429707330209815e-06,474.49
18,0.501,1.378616,0.853078,0.737705,0.605419,0.0,2.904938550483098e-06,480.25
19,0.508229,1.378605,0.851023,0.744991,0.614544,0.0,2.4285108555160555e-06,484.03
20,0.520412,1.374161,0.859756,0.757741,0.622389,0.0,2.009299191830111e-06,478.83
