epoch,train_loss,val_loss,val_qwk,val_accuracy,val_macro_f1,val_macro_auc,learning_rate,epoch_time_seconds
1,1.59211,1.839176,0.003164,0.052823,0.020139,0.607141,5.050000000000001e-06,463.85
2,1.242179,1.564231,0.567758,0.309654,0.257397,0.0,1e-05,469.08
3,1.053463,1.519383,0.677664,0.526412,0.374681,0.0,9.958086757163489e-06,458.0
4,0.961157,1.391279,0.73943,0.537341,0.408648,0.0,9.833127793065098e-06,456.78
5,0.873324,1.324772,0.767291,0.613843,0.482194,0.0,9.62745085677454e-06,461.95
6,0.838928,1.370404,0.779084,0.581056,0.469063,0.0,9.344887320459198e-06,472.06
7,0.762547,1.384973,0.770137,0.590164,0.440171,0.0,8.99070080816989e-06,472.12
8,0.752307,1.315441,0.825869,0.675774,0.554014,0.0,8.571489144483943e-06,472.46
9,0.73728,1.33931,0.81007,0.675774,0.534748,0.0,8.095061449516902e-06,469.53
10,0.702451,1.337637,0.84803,0.697632,0.564405,0.0,7.570292669790185e-06,463.48
11,0.687004,1.304538,0.849253,0.721311,0.588232,0.0,7.006958254769438e-06,474.96
12,0.609636,1.291609,0.849376,0.744991,0.617497,0.0,6.415552058736851e-06,468.33
13,0.622739,1.302942,0.845382,0.721311,0.580874,0.0,5.80709086014102e-06,471.41
14,0.6215,1.300591,0.846257,0.717668,0.589028,0.0,5.1929091398589804e-06,464.07
15,0.593474,1.302943,0.871633,0.772313,0.640935,0.0,4.584447941263147e-06,465.84
16,0.578585,1.30861,0.84764,0.734062,0.594221,0.0,3.993041745230561e-06,467.42
17,0.569869,1.30398,0.861095,0.763206,0.623556,0.0,3.429707330209815e-06,477.64
18,0.562437,1.306858,0.86875,0.752277,0.622829,0.0,2.904938550483098e-06,472.11
19,0.552892,1.310177,0.868336,0.750455,0.617156,0.0,2.4285108555160555e-06,471.38
20,0.541332,1.294823,0.849125,0.746812,0.610987,0.0,2.009299191830111e-06,461.27
