Model,Class,Precision,Recall,F1,Specificity,AUC
efficientnet_only,Grade 0 (No DR),0.958,0.9262,0.9418,0.9606,0.0
efficientnet_only,Grade 1 (Mild NPDR),0.4074,0.7857,0.5366,0.8704,0.0
efficientnet_only,Grade 2 (Moderate NPDR),0.9,0.06,0.1125,0.9975,0.0
efficientnet_only,Grade 3 (Severe NPDR),0.1709,0.6897,0.274,0.8138,0.0
efficientnet_only,Grade 4 (Proliferative DR),0.283,0.3409,0.3093,0.9249,0.0
swin_only,Grade 0 (No DR),0.9806,0.9336,0.9565,0.9821,0.0
swin_only,Grade 1 (Mild NPDR),0.4598,0.7143,0.5594,0.9049,0.0
swin_only,Grade 2 (Moderate NPDR),0.7843,0.5333,0.6349,0.945,0.0
swin_only,Grade 3 (Severe NPDR),0.3103,0.6207,0.4138,0.9232,0.0
swin_only,Grade 4 (Proliferative DR),0.5556,0.5682,0.5618,0.9605,0.0
lhctnet_concat,Grade 0 (No DR),0.9807,0.9373,0.9585,0.9821,0.0
lhctnet_concat,Grade 1 (Mild NPDR),0.4935,0.6786,0.5714,0.9211,0.0
lhctnet_concat,Grade 2 (Moderate NPDR),0.7957,0.4933,0.6091,0.9525,0.0
lhctnet_concat,Grade 3 (Severe NPDR),0.2642,0.4828,0.3415,0.9251,0.0
lhctnet_concat,Grade 4 (Proliferative DR),0.4412,0.6818,0.5357,0.9249,0.0
lhctnet_full,Grade 0 (No DR),0.9796,0.8856,0.9302,0.9821,0.0
lhctnet_full,Grade 1 (Mild NPDR),0.4167,0.625,0.5,0.9008,0.0
lhctnet_full,Grade 2 (Moderate NPDR),0.7629,0.4933,0.5992,0.9425,0.0
lhctnet_full,Grade 3 (Severe NPDR),0.2319,0.5517,0.3265,0.8983,0.0
lhctnet_full,Grade 4 (Proliferative DR),0.4545,0.5682,0.5051,0.9407,0.0
